"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3479.983","1507.137","1617.147","2618.238","2042.519","2680.577","2794.254","2277.207","2566.9","2614.571","2005.849","2229.536","2475.225","3065.612","3142.619","3762.342","4125.375","3171.955","2955.602","3758.675","4569.082","4422.402","4459.072","3773.343","4191.381","","","","","",
"American Samoa","ASM","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Australia","AUS","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","3.667","7.334","7.334","7.334","7.334","7.334","11.001","487.711","2757.584","4103.373","5848.865","6490.59","7715.368","8375.428","9266.509","11059.672","13813.589","15298.724","17685.941","20377.519","22548.383","22808.74","24070.188","30172.076","28114.889","28994.969","29710.034","30370.094","33875.746","31719.55","32848.986","34180.107","35712.913","38345.819","38496.166","38767.524","40344.334","42049.489","44147.013","46519.562","49134.133","46985.271","47080.613","43453.95","52951.48","60696.184","65488.953","67172.106","65136.921","68525.229","65430.281","69313.634","72606.6","73809.376","79122.859","","","","","",
"Austria","AUT","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","2922.599","3091.281","3241.628","3380.974","3523.987","3424.978","3674.334","3520.32","3747.674","4675.425","5676.516","6563.93","7088.311","7627.36","8280.086","8115.071","9270.176","9424.19","9809.225","9768.888","9292.178","8826.469","8551.444","8690.79","9728.551","10410.613","9255.508","9640.543","9237.173","10058.581","11994.757","12680.486","12449.465","13131.527","13505.561","14748.674","15698.427","15130.042","15529.745","15801.103","15082.371","15984.453","15911.113","17176.228","17590.599","18518.35","17337.576","16336.485","17297.239","16879.201","18602.691","17557.596","16780.192","16171.47","14759.675","15749.765","16450.162","","","","","",
"Azerbaijan","AZE","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22618.056","17297.239","16684.85","13318.544","11745.401","11070.673","10608.631","11697.73","11430.039","16589.508","16633.512","17066.218","18639.361","18547.686","20483.862","17594.266","20755.22","18804.376","17982.968","19039.064","19849.471","19933.812","21202.594","21950.662","21525.29","","","","","",
"Burundi","BDI","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Belgium","BEL","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","62.339","69.673","77.007","69.673","73.34","95.342","201.685","927.751","2394.551","4957.784","7843.713","10824.984","13608.237","16395.157","19167.409","18668.697","19930.145","19688.123","19519.441","21330.939","20406.855","18822.711","15537.079","16307.149","16827.863","16783.859","13494.56","15108.04","14913.689","16571.173","18709.034","20003.485","20725.884","21543.625","22152.347","24301.209","27062.46","25801.012","28569.597","30542.443","30619.45","30186.744","30641.452","32984.665","33369.7","33762.069","34491.802","34304.785","33985.756","34506.47","38353.153","32984.665","32929.66","33175.349","29046.307","31990.908","32749.977","","","","","",
"Benin","BEN","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Burkina Faso","BFA","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
