"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bosnia and Herzegovina","BIH","Agricultural land (sq. km)","AG.LND.AGRI.K2","","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","21900","21800","21750","21700","21650","21600","21050","21300","21260","21230","21690","21694","21570","21590","21490","21300","21280","21440","21510","21560","21610","21570","21760","22090","22280","22110","22160","22160","",
"Belarus","BLR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93540","93460","93390","93330","93060","93070","92810","92520","91280","90250","89860","89570","89490","89580","89160","89170","89270","88980","88750","87960","87112","86239","85742","85327","84940","84530","83870","82810","",
"Belize","BLZ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","790","790","800","800","800","810","810","810","820","820","830","830","840","840","850","850","860","930","940","960","970","970","970","970","1010","1030","1120","1150","1200","1260","1300","1360","1430","1430","1460","1470","1480","1480","1500","1490","1490","1520","1520","1520","1520","1520","1520","1520","1550","1570","1570","1600","1600","1600","1700","1700","1720","1720","1720","1720","",
"Bermuda","BMU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4","3","3","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","",
"Bolivia","BOL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","300420","299420","298070","298780","299150","299510","299880","300240","302610","302970","307340","312700","313080","318430","323800","324160","329530","329890","335250","335620","340990","341360","341730","347170","346870","352030","352270","352500","354700","354550","357960","358310","362130","363510","366000","366840","368740","369820","370690","371430","371560","373110","366470","366170","369620","371120","373900","374850","376730","375160","375570","376510","377380","377020","376610","376850","374880","377270","377870","377870","",
"Brazil","BRA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1569590","1606660","1643730","1680800","1717870","1754940","1792010","1829080","1866150","1903280","1938340","1973400","2008460","2043520","2078590","2127800","2177010","2226220","2275430","2325172.08","2344138","2363106","2382074","2401042","2419987.07","2405792","2391594","2377396","2363198","2349000","2334802","2320604","2306406","2292208","2278050","2279087","2280124","2281161","2282198","2283235","2284272","2285309","2286346","2287383","2288420","2289510","2296718","2303926","2311134","2318342","2325550","2332758","2339966","2347174","2354382","2361590","2368786","2368788.01","2368788.01","2368788.01","",
"Barbados","BRB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","180","180","180","170","170","160","160","160","160","160","160","150","140","130","125","120","110","100","100","100","100","100","",
"Brunei Darussalam","BRN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","210","210","210","240","240","230","230","240","240","240","190","180","180","180","180","170","150","150","150","140","140","130","130","120","120","120","120","120","120","110","110","110","110","110","100","100","100","100","100","100","110","110","110","110","110","103","114","114","134","134","134","134","134","134","134","134","134","134","134","134","",
"Bhutan","BTN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3610","3630","3630","3650","3660","3680","3680","3700","3700","3820","3820","3850","3850","3920","3920","3980","4000","4000","4050","4130","4130","4180","4300","4440","4440","4440","4650","4600","4520","4540","5040","5040","5050","5090","5650","5700","5720","5720","5720","5780","5790","5800","5830","5840","5930","5770","5630","5213","5200","5200","5196","5196","5196","5256","5256","5190","5130","5130","5130","5130","",
"Botswana","BWA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","260000","260000","260000","260000","260010","260010","260010","260010","260010","260010","260010","260020","260020","260020","260020","260020","260020","260020","260040","260040","260040","260060","260060","260060","260080","260080","260100","260100","260150","260210","259010","258510","259510","259960","259460","259460","259010","258310","258410","259510","258010","258460","257960","258270","258150","258030","257840","258810","259180","258610","259260","258870","258820","260040","258616","258616","258616","258616","258620","258620","",
"Central African Republic","CAF","Agricultural land (sq. km)","AG.LND.AGRI.K2","","47380","47480","47560","47700","47800","47900","48000","48100","48200","48300","48400","48500","48600","48700","48900","49000","49100","49200","49300","49450","49450","49600","49700","49820","49830","50040","50050","50060","50060","50060","50080","50200","50200","50200","50100","50220","51230","51490","51490","51490","51490","51490","51950","52150","52150","52100","52100","51780","51460","51140","50800","50800","50800","50800","50800","50800","50800","50800","50800","50800","",
"Canada","CAN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","618430","622800","627170","631540","635910","637010","635660","634310","632960","631610","630230","630500","630770","631040","631310","631589.9","627850","624100","620350","616600","612900","612120","611340","610560","609780","608988.92","610250","611510","612770","614030","615332.464","614650","613970","613290","612610","611920","612150","612390","612630","612870","613081.608","620910","619460","618010","616560","605840","600080","594320","588560","582800","576997","577710","578420","579130","579850","580500","580240","582020","581570","577430","",
"Central Europe and the Baltics","CEB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","646680","646360","645740","646120","644720","645000","644230","645220","644240","643470","642960","641710","640360","639950","638840","640980","640430","639740","638610","637680","636270","636070","635970","636460","636310","635950","636280","635770","632060","631840","631610","628120","624860","621440","615910","610780","610260","605100","604520","591050","575370","556442.6","547221.2","539010.9","539333.9","537651.5","526982","529461.7","529073.9","519523.8","521343.5","517581.8","518923.1","518221.4","519245.9","516233.8","515348.6","516300","521123.39","514211.61","",
"Switzerland","CHE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","17363","17334","17192","17104","17016","16957","16888","16861","16874","16739","16654","16628","16537","16475","16438","16426","16414","16449","16587","16539","16490","16441","16393","16345","16296","16248","16200","16151","16104","16057","16009","15962","15915","15868","15821","15788","15757","15723","15691","15660","15626","15595","15562","15532","15500","15468","15435","15406","15375","15346","15316","15287","15248.795","15219.027","15189.336","15159.731","15129.99","15100.756","15071.559","15042.137","",
"Channel Islands","CHI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","133860","135560","137260","138980","140690","142380","144580","146780","148480","151000","153500","156000","158380","162500","165500","172000","171000","170000","169000","168500","167500","166000","165500","165000","164720","164360","161630","161540","161690","158990","157890","155560","154770","154500","153300","152320","152220","152190","150600","151100","151500","155650","154250","159350","158850","158000","157320","157840","157820","157430","157890","157550","157810","157612","157850","157418","157570","156950","156710","157100","",
"China","CHN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3432480","3460010","3488540","3517060","3555090","3591120","3627150","3663130","3709280","3755180","3801650","3847810","3903880","3970290","4016370","4075333.333","4134286.667","4193960","4239605","4285190","4338180","4434180","4538310","4654380","4772440","4833530","4886610","4942790","5003880","5065920","5122710","5151980","5191060","5237130","5237140","5237520","5237442.5","5237385","5237347.5","5237310","5243228.444","5249146.889","5255055.333","5260913.778","5266822.222","5272720.667","5278619.111","5284517.556","5290386","5289168","5288851","5287995","5288015","5286950","5286334","5285529","5285121","5285097","5285092","5285081","",
"Cote d'Ivoire","CIV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","156800","158800","158800","159800","160800","160800","161500","161500","162000","162000","163000","163100","164400","166250","167150","168400","170800","172100","172250","172550","173700","174900","175840","179010","181800","182800","184000","187200","188200","189300","189500","192000","195020","197000","198000","198000","197000","197000","196000","196000","196000","196000","196000","200000","202000","203000","206000","206000","206000","206000","206000","207000","212000","212000","212000","212000","212000","212000","212000","212000","",
"Cameroon","CMR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","75100","75700","76200","76800","77400","78000","78700","79200","79700","79780","80280","80950","81600","82800","83950","85100","86440","86710","89120","89300","89600","90100","90600","91100","91600","92300","92100","92100","91900","91700","91500","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","92100","92130","92130","92130","92630","93130","97000","97500","97500","97500","97500","97500","97500","97500","97500","97500","97500","",
"Congo, Dem. Rep.","COD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","250500","250700","251000","251300","251500","251700","252000","252500","253000","253500","254000","254500","255000","255500","255500","256000","256300","256500","256500","257000","257500","257700","258000","258500","259000","259500","259500","259500","259500","259600","259800","260000","260000","260000","258000","258000","257000","257000","256000","256000","255500","255500","255500","255500","255500","255860","256500","257000","268870","284290","296360","308860","314300","322490","324500","326720","332760","335440","337300","335720","",
"Congo, Rep.","COG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","105400","105400","105420","105430","105430","105430","105430","105430","105440","105480","105480","105500","105540","105580","105620","105680","105650","105200","105220","105250","105280","105540","105580","105620","105680","105650","105400","105420","105440","105210","105230","105250","105300","105180","105200","105220","105360","105380","105440","105400","105400","105400","105400","105450","105470","105500","105500","105500","105630","105760","105960","106020","106270","106270","106270","106270","106280","106280","106280","106280","",
"Colombia","COL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","399700","409720","414930","419950","430080","430200","430230","430250","430300","430300","450540","450680","450840","450990","451150","451300","453150","452610","452770","452920","453080","453230","453390","453560","453750","453950","454010","452830","451830","450830","448840","449830","449030","448650","445130","449200","450820","455430","456680","448590","417450","416070","420510","423910","425570","421740","424360","426140","425400","425030","417210","426176","448156","447847","447539","447230","494990","494920","496090","482428.225","",
"Comoros","COM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","1000","1000","1000","1000","1000","1000","1100","1100","1100","1130","1140","1140","1140","1140","1150","1150","1200","1220","1240","1260","1300","1320","1330","1350","1350","1350","1350","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1320","1310","1310","1310","1310","",
"Cabo Verde","CPV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","670","670","680","680","690","690","690","700","700","720","720","710","710","730","740","740","750","750","760","760","780","780","780","780","840","840","790","790","790","790","790","790","790","",
